timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
859885413,859885172,0.7215322,-0.024998488,0.0122879,0.6918204,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
859889966,859889720,0.72153497,-0.024993738,0.012288347,0.69181764,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
859903339,859903173,0.7215341,-0.025013648,0.012297418,0.6918177,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
859925859,859925676,0.72153693,-0.025021093,0.012309634,0.6918142,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
859948366,859948177,0.72153,-0.02504035,0.012293277,0.69182104,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
859961867,859961679,0.72153497,-0.025045376,0.012289692,0.69181573,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
859984402,859984181,0.721526,-0.025089283,0.012308853,0.6918232,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
860006873,860006685,0.72154987,-0.02509278,0.012284151,0.69179857,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
860024986,860024732,0.72159255,-0.0250938,0.012279907,0.6917541,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
860042854,860042686,0.72166985,-0.025144817,0.012311032,0.69167113,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
860065367,860065188,0.7214536,-0.025044806,0.012281598,0.69190073,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
860087854,860087690,0.72142804,-0.025072496,0.012248434,0.691927,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
860105864,860105691,0.7217423,-0.025032897,0.012173434,0.691602,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
860123887,860123693,0.7213172,-0.025087817,0.012252769,0.692042,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
860146464,860146195,0.7211435,-0.025050402,0.012254669,0.6922243,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
860168881,860164197,0.7217076,-0.0249226,0.012091576,0.69164366,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
860179390,860177698,0.7219314,-0.025000824,0.012109109,0.6914069,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
860206404,860204749,0.7214022,-0.024908727,0.012117604,0.6919622,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
860227436,860227249,0.72134846,-0.024983922,0.0119879795,0.69201773,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
860245402,860245206,0.7214642,-0.024704538,0.011907014,0.6919085,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
860263374,860263205,0.7216783,-0.024696382,0.012060186,0.6916828,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
860285892,860285708,0.721526,-0.024854764,0.012018573,0.6918367,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
860308378,860308209,0.72139955,-0.024864746,0.0119690215,0.69196916,0.9967466,-1.1341755e-09,-2.114468e-09,0.08059999,7
