timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
49670076,0.7153008,-0.00063107687,0.0026634624,0.69881135,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
49675074,0.7152988,-0.0006359637,0.0026610151,0.69881344,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
49690063,0.71527874,-0.0006215332,0.002657841,0.698834,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
49710052,0.71537703,-0.0006255398,0.002660611,0.6987333,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
49730040,0.71523476,-0.00062110537,0.0026403505,0.6988791,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
49750029,0.715319,-0.0006359401,0.0026642887,0.6987928,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
49770014,0.7153106,-0.00063073257,0.0026370003,0.6988015,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
49790003,0.7152544,-0.0006375482,0.0026808172,0.69885874,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
49809991,0.7153413,-0.00062481395,0.0026520349,0.69876987,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
49829978,0.7152471,-0.0006059033,0.0026655272,0.69886637,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
49849966,0.7153234,-0.00062082463,0.002711234,0.6987881,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
49869954,0.71527874,-0.0006025352,0.0026297455,0.69883406,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
49889943,0.7153044,-0.0006282522,0.0026630114,0.6988077,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
49909931,0.7153092,-0.0006174708,0.0026654913,0.6988028,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
49929918,0.71529037,-0.00062083517,0.002647637,0.6988221,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
49949906,0.7153189,-0.00062407425,0.0026399745,0.69879293,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
49969896,0.71528906,-0.00064134144,0.0026312347,0.69882345,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
49989881,0.71529454,-0.00064028497,0.002625888,0.69881797,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50009871,0.71532977,-0.000636387,0.0026494018,0.6987817,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50034853,0.7152665,-0.0006279205,0.0026399465,0.6988466,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50049847,0.715344,-0.00065230334,0.0026370143,0.69876724,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50069833,0.71530926,-0.00063493225,0.0026533592,0.6988028,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50094818,0.71530735,-0.00062359334,0.0026329001,0.6988048,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50109810,0.7153168,-0.00064590794,0.0026375914,0.698795,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50129798,0.71528816,-0.00063218595,0.002630727,0.6988244,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50149784,0.7153139,-0.0006216461,0.002622057,0.6987981,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50174770,0.71531886,-0.00064068014,0.0025779696,0.6987932,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50189759,0.7153184,-0.00065843976,0.0025681064,0.6987937,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50209747,0.7153411,-0.0006168919,0.002511905,0.6987707,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50234731,0.7153282,-0.00063928624,0.0025237903,0.6987839,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50249722,0.7152631,-0.0006276713,0.002527349,0.6988504,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50269712,0.71535796,-0.00068472023,0.002587419,0.69875306,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50289699,0.71532553,-0.0006252985,0.0025802164,0.6987864,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50314684,0.71530014,-0.0006614104,0.0025704484,0.6988124,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50329677,0.71544784,-0.00073377584,0.002575118,0.6986611,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50349662,0.7152598,-0.0005978622,0.0025634337,0.69885385,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50374647,0.71526235,-0.0006601347,0.0025564735,0.69885105,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50389642,0.71548915,-0.0006421892,0.0024933738,0.6986191,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50409626,0.71516407,-0.0005772842,0.0025916004,0.69895166,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50434610,0.71519655,-0.0005842701,0.0025831093,0.6989184,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50449601,0.7154029,-0.0006465062,0.0026189692,0.698707,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50469588,0.71519595,-0.0006606595,0.002506693,0.69891924,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50489576,0.7155853,-0.00072249334,0.002462369,0.69852066,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50514561,0.715556,-0.0007001351,0.002472531,0.6985507,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50529553,0.715366,-0.00064412615,0.00251582,0.69874513,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50549541,0.71561927,-0.0006475417,0.0026267453,0.6984854,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50569528,0.7150805,-0.0005827363,0.002588458,0.69903713,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50589517,0.7156976,-0.00075142336,0.002481767,0.69840556,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50609506,0.71532655,-0.00061666244,0.002507903,0.6987856,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50629491,0.71531,-0.000697101,0.0024179642,0.6988028,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50654476,0.7157193,-0.00068684516,0.00244612,0.6983835,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50669468,0.71500236,-0.0005290307,0.002643293,0.6991169,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50689454,0.71571344,-0.0007317943,0.0026067884,0.6983888,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50709442,0.7152478,-0.0005948064,0.00255706,0.698866,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50729432,0.7153356,-0.0007020277,0.002378957,0.6987767,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50749419,0.7157788,-0.00070462923,0.002408817,0.6983226,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50769407,0.7149527,-0.00051441864,0.0025734494,0.69916797,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50794393,0.71542364,-0.00056367554,0.0025691332,0.69868606,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50809381,0.71512854,-0.0005420827,0.0026436287,0.69898784,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50829370,0.7154449,-0.00069107144,0.0024212834,0.6986647,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50849358,0.7157519,-0.0007002782,0.0024690137,0.69835,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50869346,0.7150162,-0.0005455147,0.0025342938,0.6991032,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50889332,0.71601,-0.0006947349,0.0025288644,0.6980852,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50909320,0.7149855,-0.00048513312,0.0026475363,0.6991342,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50934305,0.71518296,-0.00059164775,0.0025721793,0.6989324,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50949297,0.71546924,-0.0006549709,0.00250624,0.69863945,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50969284,0.71519625,-0.00064466306,0.002451092,0.6989192,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
50989272,0.715959,-0.0007718226,0.002355946,0.69813794,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
51009259,0.71489435,-0.00051418535,0.0025690503,0.69922763,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
51029248,0.71597296,-0.0007180931,0.0025730822,0.6981229,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
51049236,0.7151243,-0.00053060404,0.0025471942,0.6989925,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
51074220,0.715052,-0.0005933782,0.0025549107,0.69906634,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
51089211,0.7156913,-0.0006856006,0.0024144459,0.6984123,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
51109199,0.7150744,-0.00061179436,0.0024381143,0.69904387,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
51129187,0.7159954,-0.0007421005,0.0024464047,0.6981004,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
51149174,0.714877,-0.00048540768,0.0025395749,0.69924545,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
51169165,0.7159231,-0.0006877103,0.0025285692,0.69817436,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
51189150,0.7152799,-0.00062656816,0.0024549689,0.6988336,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
51214136,0.71498257,-0.0006406561,0.0024873482,0.6991376,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
51229127,0.71579903,-0.0006510241,0.002375402,0.69830203,0.9795472,1.9577409e-10,3.1333455e-10,0.20121479,3
