timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
125867161,-0.0021864062,-0.0010860328,-0.0124816485,4996,0,-0.06741104,-0.06787297,-9.847645,4996,0
125872158,-0.00040414452,-0.0006312091,-0.012339339,4997,0,-0.07560415,-0.052770033,-9.850486,4997,0
125887148,0.0011204839,-0.0017519392,-0.010881793,4997,0,-0.0785633,-0.0998759,-9.813547,4997,0
125907133,-0.001206439,-0.0019656422,-0.013573123,4997,0,-0.04250067,-0.04405751,-9.84586,4997,0
125927118,-0.0015080926,-0.003163402,-0.0111311115,4996,0,-0.043919787,-0.057300095,-9.839813,4996,0
125947106,0.0008521862,-0.0013835067,-0.012114694,4999,0,-0.04391208,-0.058621082,-9.836938,4999,0
125967089,-0.0015894861,-0.0015747409,-0.014632123,4996,0,-0.06293466,-0.1402922,-9.979819,4996,0
125987076,0.004619214,-0.00071358087,-0.048603974,4998,0,0.10275653,-0.024482485,-9.872229,4998,0
126007062,-0.019328313,0.0034106805,0.009423781,4998,0,0.0024900308,-0.10836182,-9.576622,4998,0
126027045,-0.00839691,0.003051783,-0.01761063,4996,0,-0.16466507,-0.24859667,-9.659012,4996,0
126047031,-0.005643948,-0.0023320778,-0.018937618,4995,0,0.020161686,-0.0904194,-9.782466,4995,0
126067019,0.0023212833,-0.00018637007,-0.00027636235,4999,0,-0.034291156,-0.076933965,-9.96257,4999,0
126087010,0.021676406,0.014635034,-0.02469676,5005,0,-0.25766236,-0.09948246,-9.747056,5005,0
126106989,-0.029010117,-0.00906581,-0.005210396,4998,0,-0.035642784,-0.18243492,-9.712312,4998,0
126126974,0.010800646,0.01190514,-0.012830654,4996,0,-0.104628935,-0.14491472,-9.993128,4996,0
126146965,-0.020454178,-0.0054880045,-0.013186648,5002,0,-0.12085474,0.043931965,-9.975979,5002,0
126166944,-0.009493712,-0.00899867,-0.01506862,4996,0,0.20104842,-0.052547332,-10.035688,4996,0
126186931,-0.007863976,0.00034956963,-0.0063812914,4996,0,-0.10062715,-0.16563238,-9.827063,4996,0
126206915,0.0033739218,-0.0003518334,-0.017982988,4995,0,-0.038970977,-0.026982926,-9.816405,4995,0
126226902,-0.005022808,-0.0042123385,-0.00042161992,4997,0,0.019346483,-0.10680406,-9.799276,4997,0
126246889,-0.0038976425,-0.006805817,-0.017484462,4999,0,-0.12681115,-0.042897694,-9.872979,4999,0
126266872,-0.011983694,-0.0041167354,-0.02914047,4997,0,-0.26098055,-0.14058144,-9.763444,4997,0
126286857,-0.0051503847,-0.010289851,-0.014053498,4996,0,-0.13123883,-0.12961146,-9.737882,4996,0
126306844,0.016774792,-0.0057178657,-0.01778112,4998,0,-0.23755117,-0.2843461,-9.860864,4998,0
