timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
125862165,0,0.0,0.0,-0.028743047,-0.023655504,-0.0999603,-0.030347846,-0.017858354,0.077307485,0.001971165,0.0016545984,-0.0013388947,-0.0014876277,-0.00018158615,-2.7996442e-05,0.003244032,0.028150566,-0.0007687049,-0.0066461475,1.5712492,0.6213035,0.0,0.10073973,0.03433134,0.016241658,0.059454255,0.03074938,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
125872158,0,0.0,0.0,-0.028740006,-0.02362088,-0.09996182,-0.030347846,-0.017858354,0.077307485,0.001777237,0.0016932687,-0.0014442127,-0.0015810729,-0.00018158615,-2.7996442e-05,0.003244032,-0.024988333,-0.001907103,-0.012992711,1.5712457,0.6213035,0.0,0.10074125,0.03378113,0.016241653,0.059211764,0.030749395,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
125882151,0,0.0,0.0,-0.028736826,-0.023588067,-0.09996304,-0.030347846,-0.017858354,0.077307485,0.0020041028,0.0015080986,-0.0012692828,-0.0013943688,-0.00018158615,-2.7996442e-05,0.003244032,0.04498085,-0.004143407,0.019951373,1.5712354,0.6213035,0.0,0.100742474,0.0342306,0.016241647,0.06011535,0.03074943,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
125902136,0,0.0,0.0,-0.028724145,-0.02352286,-0.09996173,-0.030347846,-0.017858354,0.077307485,0.0021645755,0.0015400045,-0.001229265,-0.0013309377,-0.00018158615,-2.7996442e-05,0.003244032,0.015278146,-0.021896396,-0.0006100535,1.5712559,0.6213035,0.0,0.10074116,0.03413655,0.016241636,0.061299503,0.03074954,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
125922122,0,0.0,0.0,-0.028714396,-0.02345666,-0.099959694,-0.030347846,-0.017858354,0.077307485,0.0019344278,0.0017939409,-0.0010823561,-0.0011605597,-0.00018158615,-2.7996442e-05,0.003244032,-0.011808704,-0.00063021004,0.01945775,1.5712547,0.6213035,0.0,0.10073913,0.03405099,0.016241625,0.06296998,0.030749712,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
125942107,0,0.0,0.0,-0.028705586,-0.023390384,-0.09995477,-0.030347846,-0.017858354,0.077307485,0.0021288113,0.0018816208,-0.0011357968,-0.0011904878,-0.00018158615,-2.7996442e-05,0.003244032,-0.00010062779,0.02012258,-0.0036582898,1.5712508,0.6213035,0.0,0.100734204,0.033976376,0.016241614,0.06507973,0.030749941,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
125962093,0,0.0,0.0,-0.028691342,-0.023323314,-0.09995025,-0.030347846,-0.017858354,0.077307485,0.0020410968,0.0018451846,-0.0007139964,-0.00074541516,-0.00018158615,-2.7996442e-05,0.003244032,-0.07438916,-0.012798749,0.12198327,1.5711434,0.6213035,0.0,0.10072968,0.033915676,0.016241604,0.06757582,0.030750228,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
125982078,0,0.0,0.0,-0.028675467,-0.023259193,-0.09994376,-0.030347846,-0.017858354,0.077307485,0.0023429687,0.0011826578,-0.001159988,-0.0011685175,-0.00018158615,-2.7996442e-05,0.003244032,-0.07995933,-0.14888181,-0.14472944,1.5714353,0.6213035,0.0,0.10072319,0.03387219,0.016241597,0.07040436,0.030750573,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
126002064,0,0.0,0.0,-0.028660556,-0.02320405,-0.099942334,-0.030347846,-0.017858354,0.077307485,0.0021577901,0.0013722661,-0.0019825422,-0.0019681985,-0.00018158615,-2.7996442e-05,0.003244032,-0.120428115,-0.066448025,-0.19566089,1.5712665,0.6213035,0.0,0.10072177,0.03384949,0.016241591,0.07351196,0.030750975,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
126022049,0,0.0,0.0,-0.028652586,-0.023148382,-0.09994365,-0.030347846,-0.017858354,0.077307485,0.0014216707,0.0020781038,-0.0023007619,-0.0022634368,-0.00018158615,-2.7996442e-05,0.003244032,-0.08426745,0.08961435,-0.23031244,1.5711994,0.6213035,0.0,0.10072309,0.033851214,0.01624159,0.07684746,0.030751426,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
