timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
2131920223,-0.0074392045,7.783621e-06,-0.011306132,4997,0,0.032256797,-0.05748308,-9.80862,4997,0
2131925221,-0.009603126,0.0003381161,-0.010707389,4998,0,0.016315416,-0.0725239,-9.846755,4998,0
2131940209,-0.009573404,-0.0012774471,-0.010236996,4997,0,0.03795079,-0.053715438,-9.833857,4997,0
2131960197,-0.010147019,-0.0014574439,-0.010898614,4996,0,0.045648925,-0.061786022,-9.843467,4996,0
2131980184,-0.007891396,-0.0012059258,-0.022623628,4997,0,0.079071656,-0.07990422,-9.8046055,4997,0
2132000172,-0.007822837,-0.0037742346,0.0094647985,4997,0,-0.11926803,-0.16477701,-9.838768,4997,0
2132020159,-0.010268361,0.001654215,-0.02111849,4997,0,0.20491694,-0.118455246,-9.660603,4997,0
2132040147,-0.004675822,-0.0031371652,-0.020418733,4997,0,0.09316358,-0.25742945,-9.7755575,4997,0
2132060134,-0.0050803577,-0.0031732337,0.0067807417,4997,0,0.021085188,-0.035133824,-9.778466,4997,0
2132080122,-0.017734267,-2.5478585e-05,-0.025478238,4992,0,0.057434574,-0.1051159,-9.8824215,4992,0
2132100109,-0.0046327435,-0.0048260703,-0.0058938535,4997,0,0.043741833,-0.14947185,-9.862754,4997,0
2132120097,-0.009451195,-0.017211856,-0.009516119,4996,0,0.118333355,-0.08023709,-9.884948,4996,0
2132140085,-0.011780461,0.00866093,-0.015709903,4998,0,-0.048387613,-0.21035273,-9.816417,4998,0
2132160072,-0.011646213,-0.016994338,-0.008184153,4997,0,0.13986968,-0.0429647,-9.824792,4997,0
2132180061,0.012583319,-0.0006296401,-0.013599311,4998,0,0.19376206,-0.07836226,-9.980089,4998,0
2132200047,0.021463314,-0.007827409,-0.013405035,4997,0,-0.07537593,0.035006654,-10.072778,4997,0
2132220035,0.007485144,-0.008919466,-0.013588954,4997,0,0.043367274,0.13035938,-9.97535,4997,0
