timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
368444928,0,0.0,0.0,-0.057249755,-0.010757771,-0.09889304,-0.036738444,-0.035467714,-0.24821874,0.0014985941,0.0001683363,-0.0006384506,-9.705725e-05,0.00033288862,0.0002680258,-0.030127008,-0.039239682,-0.0076533244,0.009978545,1.5183402,0.65973216,0.0,0.100168936,0.03314089,0.016826648,0.058115084,0.033193234,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
368454920,0,0.0,0.0,-0.05723513,-0.0107565075,-0.09889422,-0.036738444,-0.035467714,-0.24821874,0.0015235356,0.00017397836,-0.00071777764,-0.00017948757,0.00033288862,0.0002680258,-0.030127008,0.007499348,0.001905636,-0.011076807,1.5183433,0.65973216,0.0,0.10017012,0.03267667,0.016826646,0.05763654,0.033193216,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
368464917,0,0.0,0.0,-0.05722066,-0.010754691,-0.09889517,-0.036738444,-0.035467714,-0.24821874,0.0013326966,0.00023085478,-0.0006163109,-8.123455e-05,0.00033288862,0.0002680258,-0.030127008,-0.03372457,-0.0032750703,-0.004909377,1.5183493,0.65973216,0.0,0.10017107,0.03311496,0.016826643,0.05808416,0.033193197,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
368484898,0,0.0,0.0,-0.057195596,-0.0107521145,-0.09889663,-0.036738444,-0.035467714,-0.24821874,0.0013458438,0.00022519144,-0.00050804013,2.0339361e-05,0.00033288862,0.0002680258,-0.030127008,-0.0014262251,0.017377317,0.010097826,1.518333,0.65973216,0.0,0.10017253,0.03221985,0.016826637,0.057188813,0.033193167,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
368504885,0,0.0,0.0,-0.057170562,-0.010747713,-0.098900475,-0.036738444,-0.035467714,-0.24821874,0.0015509365,0.00056988635,-0.00066571793,-0.00014445752,0.00033288862,0.0002680258,-0.030127008,0.107621,0.053115115,0.046392724,1.5183086,0.65973216,0.0,0.10017637,0.033089757,0.016826632,0.058102172,0.033193137,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
368524873,0,0.0,0.0,-0.057138015,-0.010734868,-0.09889528,-0.036738444,-0.035467714,-0.24821874,0.0017076586,0.0005804872,-7.0298556e-05,0.00044358952,0.00033288862,0.0002680258,-0.030127008,0.087704256,-0.038864423,0.07295738,1.51848,0.65973216,0.0,0.10017118,0.033066176,0.016826626,0.05810824,0.03319311,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
368544856,0,0.0,0.0,-0.05710234,-0.010724936,-0.0988904,-0.036738444,-0.035467714,-0.24821874,0.0015359094,0.0007457225,-6.4677597e-06,0.0004999359,0.00033288862,0.0002680258,-0.030127008,-0.070959195,-0.004436266,-0.005388954,1.5183129,0.65973216,0.0,0.1001663,0.033043742,0.01682662,0.058126774,0.03319308,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
368564841,0,0.0,0.0,-0.057068672,-0.010712218,-0.09888128,-0.036738444,-0.035467714,-0.24821874,0.0019731834,5.7756308e-05,0.00029547472,0.0007943179,0.00033288862,0.0002680258,-0.030127008,-0.058546755,-0.074198194,0.012610925,1.5183328,0.65973216,0.0,0.10015718,0.032157455,0.016826615,0.057287794,0.03319305,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
368584826,0,0.0,0.0,-0.05703588,-0.010708041,-0.09887011,-0.036738444,-0.035467714,-0.24821874,0.0022139247,0.0006906552,-0.00044644068,4.4811426e-05,0.00033288862,0.0002680258,-0.030127008,0.019967785,0.04751965,-0.16381963,1.5182202,0.65973216,0.0,0.10014601,0.03302586,0.016826607,0.058238342,0.033193026,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
368604812,0,0.0,0.0,-0.057002388,-0.010695816,-0.09886379,-0.036738444,-0.035467714,-0.24821874,0.0022380773,0.0006753862,-0.0007132987,-0.00022950527,0.00033288862,0.0002680258,-0.030127008,8.696393e-05,0.07086916,-0.2642386,1.518297,0.65973216,0.0,0.100139685,0.03214249,0.016826602,0.057420928,0.033193003,inf,inf,inf,inf,1,1,1,1,2,1,1,1,3,0,0,1
