timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1550296342,0.72124624,0.0024767558,0.0034500821,0.6926658,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550301338,0.72124624,0.0024753266,0.0034488088,0.69266576,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550316332,0.7212489,0.0024784235,0.0034482689,0.692663,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550341314,0.72124815,0.0024752505,0.003446383,0.69266385,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550361303,0.72125643,0.0024794538,0.0034481552,0.6926552,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550376296,0.7212276,0.0024878958,0.003455404,0.69268507,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550396283,0.72135687,0.0024634497,0.0034430206,0.69255066,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550421269,0.7212823,0.0024858988,0.0034443634,0.69262826,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550441257,0.7211861,0.0024771232,0.003436364,0.69272846,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550456250,0.72127396,0.002510353,0.003466461,0.6926367,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550481234,0.7212108,0.0024875135,0.0034720604,0.69270253,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550501228,0.72128296,0.0024872757,0.0034488174,0.69262755,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550516216,0.72124803,0.002508011,0.003453416,0.6926638,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550536203,0.7212563,0.002481857,0.0034574522,0.69265527,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550561189,0.7212967,0.002487349,0.003446243,0.6926132,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550581177,0.72125584,0.0024890287,0.0034565944,0.69265574,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550596170,0.72128123,0.002509613,0.0034720185,0.69262916,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550621154,0.7212592,0.0024817467,0.0034641707,0.6926523,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550641143,0.72125846,0.0024885607,0.0034464365,0.692653,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550656136,0.7212771,0.0024963906,0.0034747466,0.6926334,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550676124,0.72123533,0.0024935154,0.0034712905,0.69267696,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550701108,0.72125983,0.0025014854,0.003481385,0.69265145,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550721097,0.7212665,0.002492404,0.0034679526,0.69264454,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550736089,0.7212627,0.0024894888,0.0034584044,0.69264853,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550761074,0.72126716,0.0025125267,0.0034554855,0.6926439,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550781064,0.7212974,0.0024517998,0.0034073975,0.6926128,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550796056,0.7213021,0.0025737688,0.003405121,0.69260746,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550821042,0.7212843,0.0025652566,0.0034185206,0.692626,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550841029,0.72133535,0.002477799,0.0034168062,0.6925732,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550861018,0.72126895,0.0025454392,0.0034567388,0.69264185,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550876009,0.72135735,0.002526546,0.0034359414,0.69255,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550900994,0.72132057,0.002527802,0.0034304361,0.69258827,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550920983,0.72120416,0.0024971683,0.0034056578,0.69270974,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550935974,0.7213882,0.0025081937,0.0034585542,0.6925177,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550960960,0.7213388,0.0025425449,0.0034164924,0.6925694,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1550980948,0.7211845,0.0025246174,0.003387942,0.69273025,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1551000937,0.7214823,0.0024766473,0.0033242763,0.69242054,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1551015929,0.7211098,0.0025395427,0.0033695977,0.69280803,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1551040916,0.7211878,0.002525861,0.0033964624,0.6927268,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1551060903,0.7216102,0.0024647,0.0034259742,0.69228685,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1551075894,0.7210467,0.002505607,0.003359943,0.69287384,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1551100881,0.7213651,0.0024413187,0.0033946936,0.69254243,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1551120869,0.7215519,0.0025476522,0.003470054,0.69234705,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
1551135860,0.72121763,0.0024357603,0.0034598063,0.6926957,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
