timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
568360902,-0.002001133,-0.00032396388,-0.01140933,4996,0,-0.10096815,-0.073463686,-9.82604,4996,0
568365899,-0.0008905907,-0.00081102195,-0.011765498,4997,0,-0.04342169,-0.0923028,-9.899317,4997,0
568380887,-0.0026925928,0.0023794754,-0.011965164,4996,0,-0.058776263,-0.09772157,-9.859575,4996,0
568400874,-0.0023474363,0.00022270207,-0.013629511,4998,0,-0.07623221,-0.09694084,-9.842819,4998,0
568425855,-0.0018365723,0.0018882772,-0.038328115,4996,0,-0.08461355,-0.08380139,-9.740915,4996,0
568445841,0.021312902,-0.0021490245,0.023895772,4997,0,0.03400106,0.0765216,-9.949951,4997,0
568460830,-0.009029225,-0.0010253229,-0.04930105,4997,0,0.09839879,-0.14401959,-9.849779,4997,0
568485811,0.002012491,8.7704255e-05,-0.0018347794,4996,0,-0.11422639,0.064683236,-9.791188,4996,0
568505798,-0.025437951,0.006078965,-0.0078031807,4997,0,-0.098203905,-0.3021792,-9.47133,4997,0
568520786,-0.007449329,0.002135851,-0.0073980363,4997,0,-0.22621715,-0.02760252,-10.006368,4997,0
568540772,0.0036046521,0.00031743437,-0.007132078,4997,0,-0.018727703,0.092622094,-9.854809,4997,0
568565753,-0.003810321,-0.002526187,-0.012946862,4995,0,0.08913063,0.0059044953,-10.10487,4995,0
568585744,-0.004373438,-0.0040846798,-0.011719568,5001,0,-0.122206025,-0.01462228,-10.015528,5001,0
568600728,-0.009177237,-0.004640218,-0.0128777595,4997,0,-0.023423364,-0.0046871826,-9.917145,4997,0
568620713,0.003422443,0.0020112635,-0.012944687,4996,0,0.04637782,-0.17735913,-9.782076,4996,0
568645699,0.02618847,-0.004133703,0.001394504,5000,0,-0.0103907725,0.117059626,-9.966261,5000,0
568660684,0.006018795,-0.0070251925,-0.030112622,4995,0,0.04622436,0.019514263,-10.101791,4995,0
568680670,-0.006360499,0.006667513,0.011076251,4996,0,-0.088757515,0.025744826,-9.9224,4996,0
568705653,-0.0020582608,0.0029249177,0.0019293559,4996,0,0.007849542,0.041282777,-9.84399,4996,0
568720641,-0.0040649,-0.006369576,-0.022562977,4997,0,-0.062910974,0.022192761,-9.81533,4997,0
568740626,-0.012851415,-0.0029064554,-0.011684547,4995,0,0.08637107,-0.17002496,-9.817043,4995,0
568765608,-0.021013903,-0.0004941781,-0.023162238,4996,0,-0.2593038,-0.22052646,-9.769687,4996,0
568785593,-0.018571846,-0.004182815,-0.023473267,4996,0,-0.23596871,-0.21999066,-9.721022,4996,0
568800584,0.007932612,0.008017274,-0.014504819,4998,0,0.08228899,-0.31681943,-9.828516,4998,0
568820568,0.021886151,0.009320462,-0.016336074,4997,0,-0.13881257,-0.1913101,-10.019232,4997,0
568845549,-0.06294542,0.0019342242,-0.033272363,4996,0,-0.18923141,0.39599735,-9.403604,4996,0
568865534,0.049151596,-0.005797035,0.028605606,4995,0,0.92858255,0.14867483,-10.30335,4995,0
568880524,-0.021747513,0.011333332,-0.048092473,4996,0,-0.41689956,-1.5525699,-9.684333,4996,0
568905506,0.030660998,0.016593201,-0.05451739,4995,0,-1.4880661,-0.8217001,-10.072062,4995,0
568925491,0.031926896,-0.016030157,0.057550214,4996,0,0.07758826,2.4357185,-9.97338,4996,0
568940481,-0.0082985405,-0.005306898,-0.059268795,4997,0,0.41997778,2.4959097,-9.852449,4997,0
568960466,-0.012019999,0.02989323,0.031385787,4996,0,-2.2041574,-1.3524317,-9.515857,4996,0
568985448,0.015381589,0.021041535,0.05158037,4996,0,-0.20898995,-1.9595401,-9.433513,4996,0
569005433,-0.034530833,0.0080061285,-0.13160257,4996,0,-0.057296976,-0.119858846,-9.554287,4996,0
569020423,-0.0033788779,0.016584767,0.03478027,4997,0,-0.5666838,0.99679106,-9.897485,4997,0
569045404,-0.018775506,0.020426612,-0.09757424,4996,0,-1.1476767,-2.9531991,-9.262489,4996,0
569060394,0.0021145958,-0.0017034246,0.0365407,4997,0,-1.9658101,-1.415265,-9.93425,4997,0
569080379,-0.0068276017,0.0011130169,-0.01624329,4997,0,0.45094612,3.4317122,-10.108503,4997,0
569100365,0.0471917,-0.010713814,-0.09451874,4997,0,-1.4049896,-1.8733572,-10.551856,4997,0
569125349,0.07920399,0.016218273,0.19828606,4998,0,0.15765733,0.8643213,-9.76145,4998,0
569145331,-0.02289242,0.011453778,-0.12187166,4995,0,-0.9474258,-2.1607282,-9.217142,4995,0
569160321,-0.017635742,-0.013442178,0.083834074,4996,0,-1.7667304,-0.59264493,-9.680083,4996,0
569185302,0.028413,0.024009394,0.14744695,4995,0,-0.7635112,-1.5748334,-9.405267,4995,0
569205288,-0.06842383,0.005991491,-0.29029042,4995,0,-0.4517062,-0.15996987,-9.623553,4995,0
569220278,0.010244598,0.01448322,0.18714829,4997,0,-0.13454206,2.1170719,-9.447543,4997,0
569240262,0.067408755,-0.01543948,-0.249,4996,0,-0.5223415,0.9295025,-10.556678,4996,0
569265244,0.030812304,0.02922241,0.095083036,4996,0,-0.07386595,3.0554602,-10.38465,4996,0
569285230,0.037759952,0.011863644,0.034568552,4996,0,-0.19079684,-1.8748974,-9.342696,4996,0
569300222,0.041965857,-0.008845476,0.05301755,4999,0,-1.2561026,-1.4402168,-10.214119,4999,0
569325201,0.07855372,0.027905615,0.30215374,4996,0,0.98622084,-0.12524736,-9.28685,4996,0
569345186,-0.017520372,0.009536102,-0.32694188,4991,0,-0.8813419,-2.4859288,-9.414243,4991,0
569365175,0.072425865,0.031011166,0.2947674,4993,0,0.17167765,2.883963,-10.013369,4993,0
569380161,-0.010561791,-0.018802825,-0.30880368,4996,0,0.3523846,2.1491783,-10.451051,4996,0
569405143,-0.027122384,-0.001353341,0.013960608,4994,0,-0.0042219176,1.0960767,-10.202846,4994,0
569425128,0.046517275,0.01441217,0.070443265,4996,0,0.78974336,-0.9511637,-9.591942,4996,0
569440117,0.07676025,-0.0011313037,0.090282924,4995,0,-0.65200746,-0.47950336,-10.371204,4995,0
569465099,0.07563008,0.058941886,0.31454125,4996,0,0.88751006,1.1448376,-9.197764,4996,0
569485084,-0.002554798,-0.0008082103,-0.33661225,4996,0,-1.0383216,-2.0872183,-9.578291,4996,0
569500075,0.008584365,0.0047013825,0.22379501,4998,0,-1.6505021,-1.6056968,-9.583171,4998,0
569520059,-0.06495219,-0.002302528,-0.34364703,4996,0,-0.05018039,2.4197605,-9.81013,4996,0
569545040,-0.043081556,0.007949166,0.07012388,4995,0,-0.60122275,-1.6368545,-9.686112,4995,0
569565026,0.028869687,0.045179542,0.044010922,4996,0,1.6113726,0.5139551,-9.401224,4996,0
569580016,0.05058288,0.022964742,0.19456613,4997,0,0.007970631,3.579677,-10.624124,4997,0
569604999,-0.022544561,0.043979608,0.2593096,4996,0,-0.29398268,0.66077507,-9.367644,4996,0
569624983,-0.0066868635,-0.019873599,-0.32945648,4996,0,1.3973087,1.1641062,-10.049264,4996,0
569639972,0.08074041,0.038106274,0.26444378,4995,0,0.8986336,-0.5925108,-9.566774,4995,0
569664953,-0.040755007,0.011322136,-0.32937256,4996,0,0.9840062,0.19470716,-9.814137,4996,0
569684940,0.07940109,0.02202633,0.28100705,4997,0,0.6276935,-1.0446525,-9.314506,4997,0
569704924,-0.04255061,0.015955243,-0.124287635,4994,0,-0.6277741,-1.6696274,-9.142795,4994,0
569719914,-0.011789025,-0.012590672,0.17846443,4995,0,-1.847115,0.9965881,-9.919604,4995,0
569744895,-0.0028538406,-0.02183363,0.13155228,4996,0,0.07748198,-2.6005716,-9.339683,4996,0
569764881,-0.081981346,-0.028572481,-0.30959076,4996,0,0.1565481,-0.19677372,-10.235823,4996,0
569784866,0.045904137,0.042177074,0.36368248,4996,0,1.8355454,-0.912275,-8.924208,4996,0
569804854,-0.03527071,-0.025080753,-0.36474004,4997,0,-0.3057416,-2.5220246,-9.321666,4997,0
569824837,-0.009215136,0.025030686,0.35150102,4996,0,0.8154196,2.1939797,-9.96109,4996,0
569844823,-0.006650847,-0.042143084,-0.27782154,4996,0,0.6611685,-1.8933482,-9.98061,4996,0
569859812,0.06611956,0.031973813,0.35357165,4996,0,0.8503511,-2.900235,-9.488616,4996,0
569884794,-0.00693747,0.0085698655,-0.020555727,4997,0,2.223518,0.13409266,-9.806089,4997,0
569904779,0.025120832,-0.028989721,-0.1080053,4994,0,0.36802262,-3.4137185,-9.842649,4994,0
569919770,-0.008538938,-0.016456114,-0.11806354,4998,0,-0.064435884,-2.9585454,-9.342316,4998,0
569944751,-0.004239864,-0.022960465,-0.2811532,4997,0,1.4813178,1.5613178,-10.4804735,4997,0
569964736,-0.053462327,-0.01067025,0.30845103,4996,0,-0.44297135,-2.9104085,-9.482811,4996,0
569984722,-0.1244762,-0.035849135,-0.4599508,4997,0,-0.039103173,1.2538018,-9.857773,4997,0
569999715,0.025977544,0.06557029,0.36570898,5000,0,0.20734113,0.96514213,-9.032641,5000,0
570024692,-0.047805667,-0.035426017,-0.32823986,4996,0,-0.98356956,-2.6798887,-9.781757,4996,0
570044678,-0.0027843318,-0.005642988,0.17603914,4995,0,-0.8782458,3.72357,-10.733729,4995,0
570059669,-0.10187737,-0.013187931,-0.41085944,4998,0,1.2360284,-0.14214842,-9.565168,4998,0
570084649,-0.067292504,-0.040998623,-0.12083053,4996,0,-1.1438775,-2.930968,-10.003376,4996,0
570104634,0.025896436,0.025041873,0.14393713,4995,0,0.2073468,1.9570974,-9.935206,4995,0
570124619,0.03229656,-0.026202297,-0.19429971,4996,0,0.50289494,0.48952195,-10.038369,4996,0
