timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
264144558,0.7190435,-5.494387e-06,0.0024629529,0.6949608,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
264149551,0.71904266,-3.7993107e-06,0.002459386,0.6949616,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
264164542,0.71904355,-6.3489892e-06,0.0024620923,0.69496065,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
264184531,0.71904397,-9.655918e-06,0.002469048,0.6949603,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
264204519,0.71906096,-1.7210281e-05,0.0024685424,0.6949427,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
264224507,0.71903926,-5.5107016e-06,0.00246162,0.6949651,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
264244497,0.7190559,-4.5560105e-06,0.0024839402,0.69494784,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
264264484,0.71903425,1.6023281e-05,0.0024909023,0.6949702,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
264284474,0.71906054,-4.1105445e-06,0.0025100478,0.6949429,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
264304460,0.71904695,1.3671773e-06,0.0024821763,0.6949571,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
264324449,0.7190576,-6.244064e-06,0.0024781427,0.69494605,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
264344440,0.7190554,-1.7616298e-05,0.0024976316,0.6949483,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
264364425,0.7190667,5.9696013e-06,0.0024929526,0.69493663,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
264384415,0.719055,-6.489292e-06,0.0024837921,0.69494873,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
264404402,0.7190689,-1.6077007e-05,0.0024769043,0.6949344,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
264424390,0.71905166,-1.2533534e-05,0.0024772894,0.6949523,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
264444380,0.71908045,-1.2875622e-05,0.0024930956,0.69492245,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
264464367,0.71904385,-2.2261906e-05,0.0024810825,0.6949603,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
264484356,0.71907794,-3.7272912e-05,0.0024594506,0.6949251,0.98189545,-8.35762e-13,9.379471e-11,0.18942392,3
