timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
385018862,0.00028182653,-0.00020987277,-0.013078054,4997,0,-0.039275944,-0.044625554,-9.836946,4997,0
385023858,0.0010505555,-0.0014690696,-0.01275133,4996,0,-0.07263237,-0.03682948,-9.844695,4996,0
385038847,-0.0006052753,-0.0010148797,-0.012926814,4997,0,-0.052074127,-0.048939917,-9.832014,4997,0
385058831,0.0031050423,-0.0020632676,-0.0115287,4994,0,-0.03286373,-0.03131247,-9.828571,4994,0
385083812,-0.004658401,0.0027721126,-0.036529258,4996,0,0.06714007,0.17094241,-9.877278,4996,0
385098802,-0.0027650392,-0.0009558432,0.041115258,4998,0,-0.09215672,-0.21829927,-9.867685,4998,0
385118786,0.0040284893,0.007539055,-0.020686286,4995,0,-0.11189366,-0.17173016,-9.750376,4995,0
385143767,0.011075664,0.0015376467,-0.03332653,4995,0,-0.07304831,0.036439095,-10.089597,4995,0
385158757,-0.0053172666,0.005264994,-0.006598703,4996,0,-0.043253396,-0.03984569,-9.657331,4996,0
385178741,0.009560327,0.0063541234,-0.017254505,4995,0,-0.10941458,0.33812615,-9.892986,4995,0
385198725,-0.008454091,-0.00089965604,-0.0059879604,4993,0,-0.05488788,0.004276815,-9.823375,4993,0
385223706,-0.01176368,0.0009710894,-0.016909916,4996,0,-0.020658208,-0.12108915,-9.781887,4996,0
385238695,0.016455233,0.0061818846,-0.0004148968,4991,0,-0.17989357,-0.0049061105,-10.08479,4991,0
385258681,-0.0028035175,0.008406456,-0.020524222,4994,0,0.05563513,-0.27640095,-9.5844345,4994,0
385283661,0.005033598,-0.0001402339,-0.009655395,4996,0,-0.24384768,0.041211713,-9.99384,4996,0
385298649,0.001217758,0.006151955,-0.020055605,4994,0,-0.08385737,-0.07203393,-9.668604,4994,0
385318634,-0.011760899,-0.003014315,-0.0057872403,4994,0,-0.07796197,-0.042240694,-9.778042,4994,0
385338619,-0.017796218,-0.0019334655,-0.022070654,4994,0,0.03657569,-0.15998186,-9.684592,4994,0
385363602,-0.0046764594,0.0029126406,-0.031477936,4989,0,-0.09594224,-0.095835365,-9.82901,4989,0
385378591,-0.0042270278,0.0023850417,0.011013774,4993,0,-0.12554109,-0.043844774,-9.742357,4993,0
385398575,-0.0068634194,-0.0031785779,-0.013100929,4997,0,-0.012255616,-0.010302261,-9.817793,4997,0
385423557,-0.010256335,0.0023436905,0.001220446,4995,0,-0.13747314,-0.22373919,-9.785865,4995,0
385438548,-0.005691909,-0.005060867,-0.020042608,5000,0,-0.14337853,-0.010593261,-9.791773,5000,0
385458532,-0.009117614,0.0013008548,-0.020371497,4999,0,-0.34002128,-0.2186614,-9.79506,4999,0
385478514,0.008024552,-0.012169268,-0.005214066,4993,0,-0.35685542,-0.11432094,-9.962575,4993,0
385503496,0.0030001593,-0.0061738626,-0.027305357,4997,0,-0.02444518,0.33112383,-9.947788,4997,0
385518484,-0.032131035,-0.0008540317,-0.01575028,4995,0,0.23503545,-1.1196936,-9.80434,4995,0
385538469,0.0075880634,0.0063012512,-0.039820418,4994,0,-0.6906683,0.40386084,-9.899319,4994,0
385563452,-0.0075226636,-0.0016832218,-0.022132589,4996,0,0.35809955,-1.3254958,-9.885157,4996,0
385578439,0.04407102,0.0098828105,-0.002269134,4995,0,-0.45909274,-2.0487964,-9.824935,4995,0
385598423,-0.010229941,-0.0009245055,-0.003953867,4995,0,1.6713632,0.2159366,-10.086224,4995,0
385618410,-0.0023527576,-0.006626862,-0.023734784,4997,0,-0.40349486,-2.6131887,-9.632942,4997,0
385638395,-0.045539845,-0.006124921,0.019221876,4996,0,2.1158266,0.7517037,-10.006152,4996,0
385658380,-5.062779e-06,0.0011823646,-0.04195156,4997,0,-0.6820698,-2.3985674,-9.717337,4997,0
385678364,-0.09400124,-0.0024844755,-0.022196122,4997,0,1.8506691,0.3221681,-10.234004,4997,0
385703346,-0.025923435,-0.0047469954,-0.01634193,4997,0,-0.8839153,-1.9117779,-9.939085,4997,0
385718333,-0.12234037,0.00086236483,-0.08174973,4992,0,1.0658015,-1.7474769,-9.882712,4992,0
385738318,0.018056124,-0.03177813,0.04136071,4992,0,0.10662469,1.856908,-10.064747,4992,0
385758306,-0.097442105,-0.0038087408,-0.065056905,4998,0,0.08350077,-3.4099324,-9.678714,4998,0
385778288,-0.021924468,-0.053170882,-0.008652604,4989,0,1.0181112,3.5652864,-10.643726,4989,0
385798273,-0.03675578,-0.0088621,0.0004265787,4991,0,-0.95692325,-3.506873,-9.699432,4991,0
385818258,-0.07454701,-0.031655703,-0.071453735,4991,0,0.99515104,2.6345005,-10.66657,4991,0
385843240,-0.0053304364,0.00049845036,-0.05286318,4997,0,-0.92777276,-0.40713543,-9.755135,4997,0
385858229,-0.055719696,-0.0076355953,-0.04464774,4996,0,0.24528702,-0.10511277,-10.307953,4996,0
385878213,0.0322794,-0.028591624,-0.015090687,4996,0,-0.3542641,2.7952242,-10.443763,4996,0
385898198,-0.054341447,-0.015018352,0.012470248,4995,0,-1.0886956,-2.6649678,-9.79589,4995,0
385918183,0.010382549,-0.026256826,-0.04749206,4994,0,0.6686819,5.5811396,-10.8189,4994,0
385938168,-0.01723604,-0.002774502,-0.00095797254,4996,0,-1.9614663,-3.6450665,-9.707195,4996,0
385958154,-0.05853402,-0.023591805,-0.0033381353,4996,0,0.8338811,4.964995,-10.466533,4996,0
385983134,-0.026628502,0.016363222,-0.14813034,4996,0,0.008160858,-0.27786523,-9.740871,4996,0
385998123,-0.0488574,-0.006031978,0.07040985,4996,0,-0.050241355,1.8358942,-9.89365,4996,0
386023107,-0.0055058883,0.031248959,-0.08798587,4999,0,-1.102942,-2.806455,-8.848551,4999,0
386038093,-0.017910302,-0.007154009,0.04875914,4995,0,-1.5927088,-1.4156425,-9.498751,4995,0
386058079,0.010130767,-0.0017736761,-0.01576196,4997,0,0.71616197,4.1293464,-9.98489,4997,0
386078064,0.05916336,0.02088685,-0.07769841,4996,0,-2.4664252,-3.1308753,-9.661579,4996,0
386098048,0.008157816,0.008555697,0.14429885,4994,0,0.641076,3.547581,-9.607695,4994,0
386123030,-0.08372846,0.016056197,-0.17858705,4997,0,1.1218373,-2.8239808,-9.614506,4997,0
386138018,-0.03740077,-0.008539624,0.13717961,4995,0,-0.1278866,0.27582502,-9.166706,4995,0
386158002,0.029599888,0.029006995,-0.09179967,4991,0,0.6835419,1.4776868,-9.462884,4991,0
386177987,-0.008354392,0.019756997,-0.017863065,4994,0,-1.2138977,-4.1664934,-9.27401,4994,0
386197972,-0.011831744,0.024367591,0.09085103,4995,0,2.0120316,2.0766315,-9.47618,4995,0
386217957,0.03386781,0.016990986,-0.16513568,4994,0,-0.8528323,-4.2870173,-9.782909,4994,0
386237942,-0.031743597,-0.025029302,0.2041542,4995,0,1.5816954,1.4483573,-9.83152,4995,0
386262926,-0.088457316,-0.0025178308,-0.19111857,4999,0,-0.71588993,-2.0420392,-9.5372925,4999,0
386277913,-0.06362713,-0.03580554,0.15615565,4996,0,0.59401315,-1.5249108,-9.916268,4996,0
386297897,-0.041689157,-0.007056981,-0.14584671,4995,0,1.4633517,1.1187623,-10.263436,4995,0
386322885,-0.091717154,-0.004498008,-0.1698271,5003,0,0.09978433,3.989126,-10.393614,5003,0
386337867,-0.049194135,-0.014051097,0.031165017,4995,0,1.3228174,3.372386,-10.191173,4995,0
386357852,0.04819716,-0.0119707445,-0.15643923,4997,0,-1.9432,-2.668905,-10.244737,4997,0
386377837,-0.030331906,-0.013391825,0.20110494,4995,0,-0.2992825,2.976774,-9.995771,4995,0
386402818,-0.06431647,0.030626664,-0.27094007,4997,0,-0.49174988,-3.0930264,-9.029062,4997,0
386417807,-0.008092731,0.0056225047,0.22889411,4997,0,-1.3212525,-0.99322134,-9.254077,4997,0
386437791,0.009517104,0.021823522,-0.23079869,4996,0,1.5423046,2.833778,-9.888923,4996,0
386462778,-0.07449033,-0.026056223,-0.09314953,5000,0,1.2882224,2.723459,-10.58634,5000,0
386477763,-0.017493207,0.019829161,-0.036956906,4998,0,2.2309268,2.279687,-9.776204,4998,0
386497746,0.002622103,0.0098123085,-0.088342994,4995,0,-1.0444403,-4.250261,-9.657344,4995,0
386517732,-0.06398663,-0.0029472928,0.18799944,4997,0,1.1868985,0.2999565,-10.182901,4997,0
386542713,-7.314381e-05,-0.028779287,-0.13984288,4996,0,1.4938638,1.760373,-9.45972,4996,0
386557703,-0.0451838,0.037335668,0.08717022,4998,0,0.00023619767,-1.0036757,-10.543642,4998,0
386577687,0.04201424,0.016502429,-0.17964768,4996,0,0.74828374,-0.68344,-8.368511,4996,0
386602668,-0.03434231,0.03335332,0.021209901,4997,0,0.007777819,-0.6554752,-10.528904,4997,0
386617656,0.089661196,-0.008782631,-0.06897663,4996,0,-0.07559105,0.9963895,-8.9217615,4996,0
386637641,0.0367216,-0.02042344,0.02646195,4996,0,-0.7705559,0.730436,-9.4671135,4996,0
386657626,-0.10831482,0.035405245,-0.064219765,4996,0,0.10865993,-0.79020923,-11.162824,4996,0
386682607,0.030246181,-0.018826267,-0.07578075,4996,0,0.46014643,0.454218,-9.661593,4996,0
386697596,0.08493837,-0.0029662056,0.0013710258,4995,0,0.90305847,0.12796788,-8.6344385,4995,0
386717586,0.0036164362,0.015642777,-0.0620834,5001,0,-0.5193032,0.28884962,-9.173112,5001,0
386742562,-0.014660513,0.012638056,0.07143303,4996,0,-0.4462662,-0.8581338,-10.575249,4996,0
386757551,-0.02343083,0.022560438,-0.095445506,4997,0,-0.256129,-0.11364626,-9.615584,4997,0
386777535,0.07304952,-0.04546944,0.06709633,4995,0,0.42540494,-0.06576737,-9.306376,4995,0
386797520,0.012571081,-0.0020368437,-0.098337114,4996,0,0.69811106,-0.06973185,-8.839043,4996,0
386822503,-0.0584295,0.00977922,-0.007301317,4998,0,-0.07360915,-1.1194401,-10.466339,4998,0
386837490,-0.049889266,0.038480088,-0.05134421,4995,0,-0.4617724,-0.34199783,-10.826938,4995,0
386857477,0.07090766,-0.028034726,0.018900309,4997,0,0.08937219,0.29059,-9.807904,4997,0
386882457,0.015055301,-0.003257981,-0.0057548117,4997,0,0.21309789,0.53086424,-9.211691,4997,0
386897445,0.013275222,-0.026493317,0.012041796,4996,0,-0.4802872,-0.19704367,-9.138218,4996,0
386917431,-0.04018556,0.0027415357,-0.017954899,4997,0,0.114884906,-0.69172007,-9.94639,4997,0
386937415,-0.030253036,0.051147133,-0.013747859,4996,0,0.08775376,0.17360403,-10.379841,4996,0
386962396,0.0064366134,-0.015600428,0.058810778,4996,0,-0.4077791,0.27668932,-9.883539,4996,0
386977385,0.049839236,-0.006880294,-0.019030701,4996,0,-0.37668306,0.585563,-9.029716,4996,0
386997371,0.01298691,-0.050088305,-0.008625818,4996,0,0.40092793,-0.118248306,-9.66048,4996,0
387022354,-0.042037714,0.030946692,-0.059166707,4999,0,-0.36466005,-0.81576693,-9.777373,4999,0
387037340,-0.0088170115,0.011668931,-0.0155017115,4996,0,-0.103112936,0.09413588,-10.170065,4996,0
387057325,0.027603086,-0.012952811,-0.032330025,4996,0,0.53591734,-0.6363515,-9.98438,4996,0
387082306,-0.012996284,0.019644067,0.020163175,4996,0,-0.19607218,0.0627887,-10.105484,4996,0
387102291,-0.011688641,0.018235061,-0.029564861,4995,0,-0.5548073,-0.10534377,-9.541656,4995,0
387117280,0.03955535,0.02742654,0.01807049,4996,0,0.051117737,0.2509845,-9.175021,4996,0
387137265,0.038423162,-0.02830755,-0.0012339653,4996,0,-0.3525975,0.40974212,-9.42765,4996,0
387162246,-0.14848602,-0.0032413404,0.025770295,4995,0,0.13808079,-0.7435566,-10.196092,4995,0
387177235,-0.13730158,-0.02403461,-0.0053291107,4996,0,0.57672507,0.25501055,-10.257787,4996,0
387202216,-0.20667702,-0.026450066,-0.0012812098,4996,0,-0.19420658,-0.0065149944,-10.56556,4996,0
387222201,-0.267816,-0.085235216,0.123038776,4997,0,-0.65420955,0.7104217,-10.003337,4997,0
387242186,0.07665851,-0.20171146,0.061341353,4994,0,0.12613155,-0.51165456,-10.279711,4994,0
387257174,0.050561126,-0.06941552,0.03939904,4995,0,-0.5196035,-0.26538026,-9.212813,4995,0
387277159,0.17936808,-0.034505244,0.082889445,4995,0,0.079481505,0.7605973,-11.292275,4995,0
387302142,-0.05508909,-0.07521153,0.06748866,4998,0,-0.22507928,0.15845501,-11.222427,4998,0
387317129,-0.2712174,0.020777822,0.066915505,4996,0,-1.3204292,-0.11910204,-8.866865,4996,0
387337114,-0.10256177,-0.021236002,0.061241753,4996,0,0.4351798,0.43925515,-11.455696,4996,0
387362095,0.065516554,-0.12545775,0.07787868,4994,0,-0.50649107,0.24236788,-10.546138,4994,0
387382082,0.09400931,-0.16236277,0.04720866,4998,0,-0.27215803,-0.43282267,-11.169604,4998,0
387397069,-0.009305177,-0.18306914,0.036589034,4994,0,-0.7589068,0.006804668,-12.454581,4994,0
387417054,-0.35000497,-0.025530415,0.04250986,4996,0,-0.6216283,-0.9830071,-10.4984045,4996,0
387442035,-0.21706146,0.017306695,0.11479451,4993,0,0.1895502,0.16860132,-10.259987,4993,0
387457027,0.20567416,0.005923044,0.03356516,4999,0,-0.6616352,0.5200919,-10.2238245,4999,0
387477009,0.2486349,0.020962317,0.09010426,4996,0,0.0073018917,-0.47916886,-10.918526,4996,0
387501992,-0.15530004,-0.04603674,0.024673097,4999,0,0.2306558,-0.27902633,-12.0501795,4999,0
387521975,-0.4371058,-0.15963708,0.15038294,4994,0,-0.55997837,-0.8320624,-7.2682877,4994,0
387536963,-0.16199115,-0.24092048,0.13391785,4995,0,-0.8341945,0.7961891,-11.826939,4995,0
387561946,0.07950256,-0.14401723,0.055508133,4996,0,-0.36562362,0.91565394,-8.740402,4996,0
387581930,0.27581146,-0.19749233,0.10975076,4997,0,-0.88550943,-0.057521757,-11.038478,4997,0
387596918,0.21465003,-0.105829634,0.023642683,4995,0,-1.2802322,-0.08355804,-9.7449465,4995,0
387616904,0.11073865,-0.092516795,0.073075436,4997,0,-0.27362657,-0.38226378,-13.034472,4997,0
387641885,-0.14725587,-0.088886075,0.07198347,4997,0,0.07243795,-0.22443959,-11.80734,4997,0
387656875,-0.26997498,-0.0728606,0.1253561,4997,0,-1.0920691,-0.692861,-9.228456,4997,0
387676859,-0.07442888,-0.09599512,0.12003029,4997,0,0.37085092,0.3687455,-11.414382,4997,0
387701841,-0.12949845,0.061547287,0.11480023,4998,0,-0.66852844,-0.76421493,-8.799845,4998,0
387721827,0.019926222,0.011581947,0.115401946,4997,0,-0.4410974,-1.0267342,-12.5211935,4997,0
387741810,-0.0159123,-0.036924243,0.0672628,4997,0,-0.32247573,-0.9519749,-11.827735,4997,0
387756801,0.01062486,-0.077200286,0.0888897,4999,0,-0.77970695,-0.37973166,-7.527688,4999,0
387781780,0.2884653,-0.093159445,0.0021683848,4996,0,-0.28062123,0.08031964,-11.733973,4996,0
387801764,0.16294353,-0.11712812,-0.0017763318,4996,0,-0.34162194,-0.7055097,-11.672853,4996,0
387816753,0.07359521,-0.16047801,0.027182627,4996,0,-0.42202696,-1.0741571,-10.361166,4996,0
387841734,0.24347226,-0.0778902,-0.010416113,4997,0,-0.29637665,-0.49128607,-11.666536,4997,0
387861719,0.23883648,0.07040294,-0.027003316,4995,0,-0.851669,-0.44482416,-8.815445,4995,0
387881704,0.43293107,0.06306211,-0.021696193,4994,0,0.07401311,0.5734057,-10.35746,4994,0
387901689,0.30551052,-0.07643346,-0.043880362,4991,0,-0.47340372,-0.57137805,-9.324012,4991,0
387921674,0.31125525,-0.16275841,-0.018728767,4996,0,-0.12318341,-0.17900582,-10.901748,4996,0
387941662,0.25791144,-0.057581116,-0.024725197,4991,0,-0.6966632,-0.32571167,-10.250252,4991,0
387956649,0.19975732,0.037131857,-0.070478536,4993,0,-0.37432298,-0.27891105,-9.400415,4993,0
387981629,0.22949158,0.04502035,-0.06911901,4996,0,-0.08901548,-0.19684924,-10.403889,4996,0
388001614,0.20705684,0.009147172,-0.06598482,4996,0,0.035866432,-0.01383633,-8.905067,4996,0
388016603,0.35249868,-0.022699866,-0.083247915,4996,0,0.31634197,0.21691418,-10.587514,4996,0
