timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
385018862,0.72527266,0.0030120995,-0.0013887007,0.6884538,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385023858,0.7252737,0.003016089,-0.0013886166,0.68845266,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385038847,0.7252747,0.003010154,-0.0013922974,0.68845165,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385058831,0.72527075,0.0030201722,-0.0013922898,0.6884558,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385083812,0.7253971,0.0029975618,-0.0013879101,0.6883227,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385098802,0.7252184,0.002998716,-0.0014027412,0.68851095,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385118786,0.72522783,0.0030178605,-0.0013804464,0.68850094,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385143767,0.7252702,0.0030322343,-0.0013575185,0.6884564,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385158757,0.72532624,0.002991214,-0.0013798582,0.68839747,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385178741,0.7252551,0.0030100276,-0.001371302,0.68847233,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385198725,0.7252898,0.0030147224,-0.0013656332,0.6884358,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385223706,0.7253074,0.0029867096,-0.0013806612,0.68841726,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385238695,0.72526556,0.0030026152,-0.0013424495,0.6884615,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385258681,0.7252963,0.0030036373,-0.0013499008,0.688429,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385283661,0.7252633,0.002983557,-0.0013843504,0.68846387,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385298649,0.72530085,0.0029941737,-0.0013866428,0.6884242,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385318634,0.7252616,0.0029893594,-0.0013934575,0.6884655,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385338619,0.72531193,0.0029823182,-0.0014032637,0.6884125,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385363602,0.72528356,0.002993424,-0.0013800429,0.6884424,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385378591,0.7252742,0.0030297113,-0.0013867998,0.68845206,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385398575,0.72528696,0.003007108,-0.001410647,0.6884388,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385423557,0.72525215,0.002998167,-0.0013975044,0.68847543,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385438548,0.72529674,0.0030092269,-0.0014018748,0.68842846,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385458532,0.72528875,0.0030029186,-0.0013764501,0.68843687,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385478514,0.72527826,0.0030243692,-0.0013734127,0.68844783,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385503496,0.7253046,0.002968555,-0.0014015167,0.68842036,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385518484,0.72533,0.0029907704,-0.0013525172,0.6883936,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385538469,0.72535074,0.0029300235,-0.0013900968,0.68837184,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385563452,0.72529155,0.0028926253,-0.0013173034,0.68843454,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385578439,0.725293,0.002970768,-0.0012526747,0.6884329,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385598423,0.72527707,0.0028444848,-0.0012987246,0.68845004,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385618410,0.72522074,0.002882779,-0.0013098107,0.6885092,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385638395,0.7252319,0.0028701168,-0.0013342049,0.6884974,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385658380,0.72528195,0.0028609724,-0.0013201926,0.6884448,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385678364,0.725228,0.0027654266,-0.0014056175,0.6885019,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385703346,0.7252811,0.0029080128,-0.0013386208,0.68844545,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385718333,0.72534204,0.0027660648,-0.0014119784,0.6883817,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385738318,0.72520185,0.0029156257,-0.0013421398,0.6885289,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385758306,0.72539467,0.0028207675,-0.0014317724,0.688326,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385778288,0.72520936,0.0028966176,-0.0014195222,0.68852097,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385798273,0.72531635,0.0028754177,-0.0013618879,0.68840843,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385818258,0.7253619,0.0028232527,-0.0014956916,0.68836033,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385843240,0.7252284,0.0029022938,-0.001354717,0.68850094,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385858229,0.7254043,0.0028152997,-0.0014119099,0.68831587,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385878213,0.725186,0.0029289261,-0.0013644057,0.68854547,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385898198,0.7252719,0.0028636148,-0.0013777978,0.6884553,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
385918183,0.725352,0.002902544,-0.0014045159,0.6883707,0.95730734,3.3650235e-10,-1.0585269e-10,0.28907204,3
