timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
819169997,-0.004015344,-0.00015101947,-0.01097123,4997,0,0.043879557,-0.0752331,-9.811808,4997,0
819174995,-0.0036366414,-0.0016224041,-0.011590416,4998,0,0.031240202,-0.056626823,-9.826278,4998,0
819194980,-0.0051633045,-0.0011248447,-0.009685537,4997,0,0.052429464,-0.03545972,-9.833065,4997,0
819214966,-0.004985371,-0.0024059552,-0.01115644,4996,0,0.049776457,-0.075649835,-9.851336,4996,0
819234953,-0.0059971944,-0.0048490143,-0.022398623,4997,0,0.080941394,-0.19911617,-9.851832,4997,0
819254939,-0.006873411,-0.004817192,-0.04766965,4996,0,0.025455525,-0.047369264,-9.798702,4996,0
819274926,-0.008219352,-0.01043771,0.009630438,4997,0,0.1967367,0.08291222,-9.743046,4997,0
819294912,-0.012361385,-0.005509816,-0.013727113,4997,0,0.18428361,-0.0396214,-9.792221,4997,0
819314900,-0.018862328,-0.00531034,-0.023343282,4998,0,0.07465089,-0.15170449,-9.69474,4998,0
819334885,-0.017994389,-0.0044845105,0.0048871743,4996,0,0.061890513,-0.109430715,-9.758984,4996,0
819354872,-0.005687109,0.004040211,-0.026324252,4997,0,0.032684322,-0.035772517,-9.705064,4997,0
819374858,-0.008036587,0.005482896,-0.0060773524,4997,0,-0.034701638,-0.072023824,-9.681141,4997,0
819394845,-0.004625141,0.016209072,-0.009718325,4997,0,-0.046826974,-0.12724735,-9.587618,4997,0
819414832,-0.0038608627,0.005633485,-0.01971667,4997,0,-0.08642387,-0.014034641,-9.706047,4997,0
819434818,-0.01281755,-0.0006101358,-0.00541009,4997,0,0.01658219,-0.07906876,-9.657657,4997,0
819454805,-0.006520071,-0.0017456145,-0.014669906,4997,0,0.14015545,-0.14914468,-9.660278,4997,0
819474791,-0.008070041,-0.006187083,-0.004611243,4995,0,0.011028526,-0.072381884,-9.773818,4995,0
819494778,-0.0031832037,-0.003934222,-0.027358964,4997,0,0.13914365,-0.13871096,-9.833221,4997,0
819514766,-0.00071271154,0.0011171229,0.0010115365,4998,0,0.13834834,0.14590593,-9.908189,4998,0
819529754,-0.007549877,-0.0003765345,-0.024793712,4997,0,-0.06623885,-0.09544576,-9.758651,4997,0
819554737,-0.007559251,0.0009998449,-0.024806105,4996,0,0.04413204,-0.037702344,-9.814069,4996,0
819574724,-0.0071693887,-0.004094765,-0.011763803,4997,0,0.05368911,-0.10359229,-9.81975,4997,0
819594711,-0.0008809302,0.0028421883,-0.027572865,4994,0,0.048777785,-0.109576255,-9.788209,4994,0
819614699,-0.00044726505,0.002579382,-0.02344994,4999,0,-0.016907392,-0.14874993,-9.816934,4999,0
819634683,0.00928228,0.00015857331,-0.017908651,4996,0,-0.11424721,-0.30049857,-9.904265,4996,0
819654674,-0.009978784,-0.0053334325,-0.0236906,5000,0,0.048161317,-0.3464787,-9.570952,5000,0
819674657,-0.031758875,0.0011957919,-0.015443419,4996,0,-0.3835541,-0.14766277,-9.929107,4996,0
819694643,-0.015204786,0.012915017,-0.042163692,4996,0,-0.39881316,-0.27730194,-9.785863,4996,0
819714630,0.0067625022,-0.02055674,-0.0012571473,4997,0,-0.57449955,0.24235354,-10.04797,4997,0
819734617,0.00651319,0.02176758,-0.004985846,4997,0,0.07972516,1.1447893,-9.757571,4997,0
819754603,0.00016704868,0.00790096,-0.048686266,4997,0,-0.19556579,-0.9871845,-9.752948,4997,0
819774590,0.0007673692,0.023279525,0.07161761,4997,0,0.8594553,0.9764289,-9.701274,4997,0
819794576,0.0019316179,0.0073515126,-0.055452343,4996,0,-0.34304008,-1.5989223,-9.849194,4996,0
819814564,0.0047643916,0.005225832,-0.043301243,4998,0,1.0803403,1.0755986,-9.391224,4998,0
819834552,0.008953195,0.019996027,0.10402537,4999,0,-0.21378462,-1.4509751,-9.841369,4999,0
819854536,-0.012667416,0.009994149,-0.120496474,4997,0,1.1699625,0.8507399,-9.607632,4997,0
819874522,0.003948644,0.01704525,0.01360749,4996,0,-0.49805555,-1.0612855,-9.639797,4996,0
819894509,0.017171998,0.012651023,0.12654841,4997,0,1.1619179,0.72660816,-9.662625,4997,0
819914495,-0.005583444,0.009884857,-0.23042634,4996,0,-0.47776344,-0.9299803,-9.770462,4996,0
819934482,0.023488503,0.0076618227,0.15317391,4996,0,0.6643051,0.8997096,-9.602078,4996,0
819954468,0.00094591646,0.010332003,0.01590615,4996,0,-0.47645608,-0.68130136,-9.785657,4996,0
819974455,-0.011729982,0.0077260113,-0.19979239,4995,0,0.95691097,0.7048905,-9.999002,4995,0
819994442,0.017356843,0.014417235,0.22982146,4997,0,-0.7826165,-0.6749714,-9.632178,4997,0
820014430,0.003225214,0.02443558,-0.151964,4998,0,0.905498,0.5460725,-9.785229,4998,0
