timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
819169997,0.7251609,0.00079092867,0.0035725348,0.68856984,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
819174995,0.7251617,0.0007934825,0.0035729832,0.688569,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
819194980,0.72515756,0.000790077,0.0035684342,0.68857336,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
819214966,0.72515655,0.0007911671,0.0035617026,0.68857443,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
819234953,0.7251964,0.0007978307,0.003574915,0.6885323,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
819254939,0.7251885,0.000802115,0.0035626474,0.6885408,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
819274926,0.72509646,0.000802673,0.003555172,0.6886377,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
819294912,0.72521144,0.0007943587,0.0035635894,0.68851656,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
819314900,0.72513896,0.00080479274,0.0035585705,0.6885929,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
819334885,0.72515947,0.00078139524,0.0035354248,0.6885715,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
819354872,0.7251903,0.0008035158,0.0035748216,0.6885388,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
819374858,0.72514987,0.0008016674,0.0035791527,0.6885814,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
819394845,0.7251909,0.00080245815,0.0035926437,0.6885381,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
819414832,0.7251726,0.00079735526,0.003573598,0.68855745,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
819434818,0.72518307,0.0007923028,0.0035801968,0.6885464,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
819454805,0.72517776,0.0007939934,0.0035803807,0.6885519,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
819474791,0.7251862,0.0007980459,0.0035727043,0.68854314,0.99968505,-2.974825e-10,4.4255995e-11,0.025098499,4
