timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
406384607,-0.00062353705,-0.00059882755,-0.011462819,4995,0,-0.064897224,-0.059980035,-9.832096,4995,0
406389603,-0.0021951876,-0.0007616104,-0.010902833,4996,0,-0.05856377,-0.08890031,-9.8582735,4996,0
406409587,-0.0033433298,-0.0006597405,-0.012122961,4996,0,-0.07425348,-0.12152551,-9.849716,4996,0
406424577,-0.0004557014,-0.00016284033,-0.011668746,4997,0,-0.09574731,-0.08104649,-9.825544,4997,0
406449558,-0.004149971,-0.004516411,-0.0035179227,4994,0,-0.033808652,-0.18050964,-9.980805,4994,0
406469544,0.016076716,-0.0017880624,0.028783936,4997,0,-0.051640842,-0.08605736,-10.057273,4997,0
406489528,-0.0047421674,0.004762519,-0.042326175,4996,0,-0.15586467,-0.118758306,-9.630749,4996,0
406509513,-0.0066453763,0.0025121362,-0.0007955329,4996,0,-0.03591768,-0.15709944,-9.587762,4996,0
406529498,0.002202695,-0.0021988207,-0.013118081,4996,0,-0.14837201,-0.103806265,-9.880038,4996,0
406549485,-0.006499315,0.001125595,-0.019798633,4997,0,-0.03664935,-0.050851528,-9.635565,4997,0
406564473,-0.000516794,-0.002096919,-0.012118734,4996,0,0.02743216,0.003992409,-9.699051,4996,0
406589454,0.021588022,-4.3064036e-05,-0.015392248,4996,0,-0.16645443,0.07876757,-10.179676,4996,0
406609439,0.0021533223,-0.002168012,-0.011348468,4996,0,-0.052554205,-0.07957573,-9.863462,4996,0
406629425,-0.013755125,0.0032771013,-0.010137378,4995,0,-0.14364243,-0.21888383,-9.800605,4995,0
406644414,0.003438647,0.00014332622,-0.0073916316,4996,0,-0.14945129,0.04816761,-9.891397,4996,0
406669395,0.0013985832,-0.0046931948,-0.005148024,4996,0,-0.03491312,-0.0005669486,-9.932839,4996,0
406689380,0.0076676356,0.0037778562,-0.026048554,4995,0,-0.07062513,-0.07556401,-9.943068,4995,0
406704369,-0.0033505682,-0.003809905,0.0061771073,4996,0,-0.08148347,-0.08693079,-9.927257,4996,0
406729352,0.0043506795,-0.00033949423,-0.012164559,4997,0,-0.1778471,-0.0093999095,-9.961393,4997,0
406749336,-0.008828825,-0.006817348,-0.024803322,4993,0,-0.093799084,-0.096105896,-9.70267,4993,0
406769322,-0.0060604597,-0.002587845,-0.013698142,4996,0,-0.2045456,-0.14165136,-9.65786,4996,0
406789307,0.009667993,-0.008480351,-0.024372265,4995,0,-0.05535454,0.19328445,-10.116001,4995,0
