t,ang acc x,ang acc y,ang acc z,ang vel x,ang vel y,ang vel z,quat x,quat y,quat z,quat w,acc x,acc y,acc z,vel x,vel y,vel z,pos x,pos y,pos z,mot 1,mot 2,mot 3,mot 4,dmot 1,dmot 2,dmot 3,dmot 4,vbat
22.9925,15.06193956,-4.96977788,1.179648031,4.487200301,1.46412269,-0.140652419,-0.190380691,-0.477808496,-0.25664489,0.818272243,1.135102448,-5.388485922,25.92574281,2.204929199,11.23475963,-1.133242822,10.11039074,-0.787521823,2.252698105,1856.983424,2069.269087,1853.623597,1748.172633,1444.92316,4414.658503,-341.8738676,-3817.749387,146.3627983
22.995,10.7362111,-5.265976774,1.255284893,4.515760963,1.450988382,-0.136637406,-0.185356313,-0.477574966,-0.254561937,0.820214309,1.180674779,-5.396237271,25.87747974,2.1536402,11.2594544,-1.123858937,10.11583771,-0.75940165,2.249867938,1859.763103,2080.469066,1853.383613,1739.371754,733.7612152,4273.282648,50.22749677,-3202.476121,146.4131556
22.9975,6.871272629,-5.262643974,1.196980531,4.535116754,1.43612737,-0.132734032,-0.180311905,-0.477360399,-0.252444785,0.822121349,1.227267093,-5.40521167,25.83043685,2.102263145,11.28333048,-1.114234719,10.12116099,-0.731219471,2.247062609,1860.652231,2090.635501,1853.874734,1732.160252,-129.9271317,3498.836212,314.7844918,-2483.308508,146.4626952
23,3.969189526,-4.760914087,0.987000111,4.544022486,1.420474951,-0.128902028,-0.175255864,-0.477156381,-0.250303739,0.823992488,1.274653988,-5.416071297,25.78462992,2.050800017,11.30638223,-1.104376346,10.12635965,-0.702978199,2.244285518,1859.113468,2097.963247,1854.957536,1726.955212,-1158.430533,2210.843759,550.8483458,-1884.216225,146.5112557
23.0025,2.06792028,-3.465546149,0.594199379,4.54474091,1.402895881,-0.124428861,-0.170188045,-0.476955863,-0.248147981,0.825828082,1.322575034,-5.429018152,25.74016471,1.999252853,11.32860425,-1.094289782,10.13143246,-0.674677354,2.241538802,1854.860078,2101.689719,1856.628976,1722.739171,-1841.921027,338.6586162,646.3208169,-1293.010246,146.5684029
23.005,2.072630659,-1.782209913,0.196455713,4.539850933,1.390785514,-0.121544239,-0.165105225,-0.476745804,-0.245984161,0.827633694,1.370361407,-5.444054555,25.69724146,1.947623808,11.34999139,-1.083980857,10.13637793,-0.646316879,2.238823096,1849.903863,2099.65654,1858.18914,1720.490161,-2108.592925,-1967.323974,661.6088615,-762.9334289,146.6150904
23.0075,3.9160219,0.472481272,-0.187190811,4.534667489,1.38437577,-0.121155299,-0.159995462,-0.476522283,-0.243809657,0.829413777,1.417710186,-5.460462381,25.65618226,1.895915116,11.37053889,-1.073455142,10.14119446,-0.617897121,2.236137796,1844.317113,2091.853099,1859.93702,1718.924504,-2433.509101,-4683.830962,869.110001,-667.3499643,146.6608084
23.01,8.239990666,3.662308812,-0.506209043,4.536595296,1.387770363,-0.124327717,-0.154842722,-0.476292562,-0.241606449,0.831171402,1.464802796,-5.476854476,25.61742418,1.84412913,11.39024237,-1.062718015,10.14588131,-0.589421821,2.233482154,1837.736317,2076.237385,1862.53469,1717.153411,-2311.505656,-6595.777299,1098.796041,-700.5708673,146.7145468
23.0125,13.4168749,6.545424372,-0.572955383,4.55127985,1.401442815,-0.128714627,-0.149633809,-0.476046129,-0.239362757,0.83291702,1.510840335,-5.492278243,25.58136692,1.79226832,11.4090979,-1.051774638,10.15043634,-0.560895488,2.23085581,1832.759585,2058.874213,1865.431,1715.42165,-1858.111828,-7546.378272,1378.739383,-776.9361077,146.7583889
23.015,19.81162414,9.447930191,-0.377486564,4.585229368,1.424959936,-0.132427312,-0.144352918,-0.475770531,-0.237068326,0.834661747,1.554887823,-5.505720205,25.5484299,1.740335251,11.42710201,-1.040629949,10.15485873,-0.532322961,2.228258621,1828.445758,2038.505494,1869.428387,1713.26873,-1643.629974,-8373.139271,1806.410803,-919.7570098,146.8012496
