t,ang acc x,ang acc y,ang acc z,ang vel x,ang vel y,ang vel z,quat x,quat y,quat z,quat w,acc x,acc y,acc z,vel x,vel y,vel z,pos x,pos y,pos z,mot 1,mot 2,mot 3,mot 4,dmot 1,dmot 2,dmot 3,dmot 4,vbat
11.2,-4.026673604,-0.505326687,0.794120731,-1.295213819,0.038977525,-0.048003307,-0.174949793,0.004149745,0.024747535,0.984258046,0.029412774,0.257792172,9.072094002,-0.024983611,0.567081174,-0.239973065,10.9811281,1.08795414,2.108774722,1067.742277,1087.616857,1046.746846,1036.779474,624.9450795,-624.2783263,-771.2542138,-939.5152924,162.1404428
11.2025,-4.576351462,-0.339046423,0.850520813,-1.306609486,0.036860149,-0.045447869,-0.176498579,0.004142791,0.024695564,0.983982627,0.033268566,0.25422198,9.053621224,-0.024953624,0.575504428,-0.243429992,10.98106235,1.089382848,2.108172587,1069.300619,1085.729525,1045.067412,1034.736417,560.9535166,-897.6776954,-549.4003229,-685.2671984,162.1229799
11.205,-4.955364484,-0.097827961,0.827227917,-1.318647088,0.035434572,-0.042172607,-0.178070234,0.004144841,0.024645464,0.983700379,0.03631653,0.249198404,9.03396038,-0.024915153,0.583969945,-0.246953898,10.98099611,1.090833207,2.10756336,1070.547045,1083.128468,1043.999844,1033.353138,410.0307637,-1267.18829,-341.4984411,-496.6086638,162.1045994
11.2075,-5.201343264,0.24803357,0.695849245,-1.333694623,0.035433864,-0.038243961,-0.179664959,0.004155385,0.024596065,0.983411238,0.038542926,0.242701237,9.01320801,-0.024869666,0.59247385,-0.250546729,10.98093059,1.092305077,2.10694653,1071.350773,1079.393583,1043.35992,1032.253373,150.2245086,-1429.811595,-145.3121064,-347.1189232,162.0814614
11.21,-5.230167667,0.553428892,0.511347947,-1.346944592,0.037127327,-0.035866767,-0.181286272,0.004174988,0.024547806,0.983114488,0.039933218,0.234660615,8.991485013,-0.024818676,0.601012293,-0.254210147,10.98086617,1.093797733,2.106321436,1071.298167,1075.97941,1043.273284,1031.617543,-174.0284368,-1372.644855,32.6673152,-239.8961515,162.0612654
11.2125,-5.082583819,0.846316813,0.282285683,-1.360691925,0.040140849,-0.034884622,-0.182933157,0.004202201,0.024499404,0.982810301,0.040517947,0.225100427,8.968934052,-0.024763712,0.609581495,-0.257945483,10.98080343,1.095311279,2.105687705,1070.48063,1072.530359,1043.523257,1031.053892,-498.1704972,-1462.04347,157.6795543,-269.3667067,162.0401066
11.215,-4.73162843,1.17025251,0.004787579,-1.376251021,0.044068556,-0.0349959,-0.184594698,0.004226485,0.024451468,0.98250066,0.040510905,0.214231496,8.945718593,-0.024706284,0.618177804,-0.261753694,10.98074407,1.09684637,2.105044005,1068.807315,1068.669193,1044.061681,1030.27071,-678.8098984,-1328.854878,217.644595,-317.4704763,162.013588
11.2175,-4.33462398,1.423263482,-0.195759749,-1.387418183,0.047073233,-0.035994937,-0.186261332,0.004238388,0.024405361,0.982187277,0.040118587,0.202249582,8.922029151,-0.024647851,0.626797746,-0.265635315,10.98068865,1.098403612,2.10438857,1067.086581,1065.886085,1044.61148,1029.46654,-684.4443681,-987.6664176,224.2254569,-345.9404958,161.9905379
11.22,-3.889180478,1.672529469,-0.335881935,-1.396164232,0.049965444,-0.037947532,-0.187924789,0.004232959,0.024357717,0.981871725,0.039458833,0.189338981,8.898084136,-0.024589797,0.635438084,-0.269590417,10.98063649,1.099983991,2.103720823,1065.385093,1063.730861,1045.182809,1028.541007,-627.4159608,-744.9724928,226.8254006,-369.6390288,161.9664866
11.2225,-3.444175203,1.923775898,-0.417584503,-1.403165946,0.053220398,-0.040292505,-0.189586443,0.004216774,0.02430663,0.981553656,0.03845638,0.175523473,8.874133087,-0.024533404,0.64409587,-0.273618566,10.9805866,1.101587793,2.10304219,1063.949501,1062.161222,1045.745607,1027.618345,-468.2465948,-489.0183062,226.2494801,-331.0964846,161.9415943
