t,ang acc x,ang acc y,ang acc z,ang vel x,ang vel y,ang vel z,quat x,quat y,quat z,quat w,acc x,acc y,acc z,vel x,vel y,vel z,pos x,pos y,pos z,mot 1,mot 2,mot 3,mot 4,dmot 1,dmot 2,dmot 3,dmot 4,vbat
2.8525,-0.578718008,0.091777311,-0.495344977,-0.024148235,0.005799028,0.00622198,0.003647074,-0.004276992,0.09242904,0.995703166,-0.009667655,0.014973865,9.796389938,0.006140031,-0.010612561,0.000327563,-5.036052868,4.49802099,2.009281944,1164.802703,1133.100033,1107.116769,1126.954047,-740.0429956,184.4410636,-75.97348261,424.8539991,158.4499736
2.855,-0.430234793,0.121026454,-0.52817775,-0.025283816,0.006540455,0.003294339,0.003667152,-0.004262762,0.092457458,0.99570058,-0.010228374,0.020160712,9.796509226,0.006136826,-0.010511284,0.000342626,-5.036029563,4.49800352,2.009277196,1162.989262,1133.402159,1106.939063,1127.858763,-710.7630387,56.54893298,-63.74935654,297.4189735,158.4516286
2.8575,-0.311246777,0.109329349,-0.449480181,-0.02605283,0.00690257,0.001212101,0.003679289,-0.004261369,0.092485189,0.995698057,-0.010981944,0.024605011,9.796404945,0.006125044,-0.010402745,0.000363915,-5.036005891,4.49798262,2.009275576,1161.248888,1133.382778,1106.798022,1128.441142,-678.908164,-92.18648581,-39.64306075,144.4299966,158.4532388
2.86,-0.216698019,0.072683678,-0.26464897,-0.0263957,0.006834817,-0.000213536,0.003686567,-0.004275659,0.092512066,0.995695586,-0.011841402,0.028332033,9.796061416,0.006104405,-0.010286376,0.000386509,-5.035982522,4.497959003,2.009277584,1159.594721,1132.941226,1106.740848,1128.580913,-496.8300609,-225.861944,8.863596602,-54.57380965,158.4551103
2.8625,-0.185277984,0.039899857,-0.072179509,-0.026341068,0.006498102,-0.000581708,0.003688768,-0.00430232,0.092536316,0.995693339,-0.012842803,0.031320852,9.795472732,0.006075217,-0.010161606,0.000405404,-5.035960593,4.497933214,2.009282892,1158.764738,1132.253468,1106.84234,1128.168273,-197.9391429,-320.123032,81.59531652,-267.4481099,158.4566135
2.865,-0.204220842,0.0182047,0.114173974,-0.026307544,0.006361003,-0.000182057,0.003684926,-0.004339569,0.092554871,0.995691603,-0.0139916,0.033540052,9.794641271,0.00603818,-0.010028248,0.000415969,-5.035940902,4.497906235,2.009290804,1158.605025,1131.340611,1107.148824,1127.243672,41.78003718,-379.585073,157.5362144,-433.4148553,158.4580525
2.8675,-0.259294641,0.011196114,0.263388688,-0.026525058,0.006566876,0.000837354,0.003677124,-0.004384288,0.092571943,0.99568997,-0.015311028,0.035026639,9.793576581,0.005993912,-0.009886841,0.000414518,-5.035923194,4.497879688,2.009300569,1158.973638,1130.355543,1107.630022,1126.001199,244.7874976,-383.4753373,224.2662109,-535.8073482,158.4594346
2.87,-0.344884322,0.028172253,0.336213302,-0.027157763,0.006710056,0.002593621,0.003667837,-0.004431459,0.092587296,0.995688447,-0.016859925,0.035836194,9.79229476,0.005942896,-0.009738574,0.000398597,-5.03590648,4.497853725,2.009311104,1159.828963,1129.423234,1108.270155,1124.564636,428.9555419,-372.4176099,291.6709234,-625.6839815,158.460745
2.8725,-0.462165846,0.086874408,0.311026573,-0.028285878,0.006293279,0.00536563,0.003659801,-0.004476005,0.092602537,0.99568686,-0.018696544,0.036037182,9.79081665,0.005885167,-0.009585311,0.000367164,-5.035889804,4.497828588,2.009321311,1161.118416,1128.493455,1109.088376,1122.872779,466.7635082,-303.8758978,283.557871,-584.261704,158.4622314
2.875,-0.556145288,0.172627332,0.196710875,-0.029376896,0.005828014,0.007768551,0.003652844,-0.004516924,0.092621068,0.99568485,-0.020803671,0.035642108,9.789166266,0.005820273,-0.009429522,0.000320507,-5.035872504,4.49780513,2.009329849,1162.16278,1127.903855,1109.687945,1121.643327,357.7006904,-208.6703837,195.1935451,-432.8734808,158.4633968
2.8775,-0.626234556,0.291899102,0.013966775,-0.030837851,0.005910183,0.009207173,0.003645787,-0.004550641,0.092641796,0.99568248,-0.023215932,0.034657376,9.787369375,0.005747484,-0.009274074,0.000260226,-5.035854702,4.497783686,2.009335415,1162.906919,1127.450103,1110.064344,1120.708412,217.8507683,-198.4195072,94.50767872,-339.9721034,158.4644845
2.88,-0.658938881,0.455119185,-0.220107613,-0.033389744,0.006742554,0.008642483,0.003637282,-0.004575608,0.092663385,0.995679821,-0.025927868,0.033091288,9.785451161,0.005665858,-0.009122099,0.000188849,-5.035836653,4.497763847,2.00933741,1163.252034,1126.911757,1110.160483,1119.943466,27.51017545,-221.9091318,-26.90117987,-230.2225121,158.4656986
2.8825,-0.630464354,0.589470072,-0.373668036,-0.036068229,0.007895773,0.006200864,0.003627008,-0.004599414,0.092685351,0.995676813,-0.028753308,0.030964418,9.783434095,0.005574357,-0.008976804,0.000109298,-5.035818099,4.497745394,2.009336504,1163.04447,1126.340557,1109.929838,1119.557299,-167.5206762,-277.6804696,-148.4644203,-120.2636014,158.4666332
2.885,-0.543241268,0.697980725,-0.436777909,-0.038569847,0.009802315,0.002902993,0.003614486,-0.00462532,0.092707114,0.995673429,-0.031590281,0.028310734,9.781338904,0.005471983,-0.008841309,2.46E-05,-5.03579947,4.497727701,2.009333544,1162.414431,1125.523355,1109.418161,1119.342148,-291.0228031,-374.2258808,-239.4443682,-71.1823267,158.4674867
2.8875,-0.420800835,0.768459023,-0.414863729,-0.040318613,0.012492911,-1.59E-06,0.003597684,-0.004654271,0.09272882,0.995669611,-0.03438465,0.025146181,9.779184297,0.005357863,-0.008718564,-6.26E-05,-5.035780973,4.497709965,2.009329641,1161.589356,1124.469428,1108.732616,1119.201387,-328.0095498,-468.9127111,-298.9138665,-49.55823061,158.4682723
2.89,-0.284941448,0.782989345,-0.310337261,-0.040915498,0.015490441,-0.001858601,0.003579065,-0.004685757,0.092757224,0.995664715,-0.03710192,0.02158411,9.776985865,0.005231215,-0.008611396,-0.00014999,-5.035762099,4.497692955,2.009325038,1160.774383,1123.178791,1107.923592,1119.094357,-295.296577,-589.1174472,-361.017444,-43.78013228,158.4689753
2.8925,-0.146199585,0.743473212,-0.14224191,-0.040491704,0.018546027,-0.002605256,0.003562533,-0.004715361,0.092794636,0.995658588,-0.039782736,0.017779191,9.77475759,0.005091614,-0.00852237,-0.000235911,-5.03574297,4.497676972,2.00931918,1160.112873,1121.52384,1106.927529,1118.982487,-157.8540549,-589.7844938,-351.8920154,-34.79570934,158.4697226
2.895,-0.071991224,0.681854224,-0.012834347,-0.039621382,0.020390982,-0.001987869,0.00355082,-0.004741158,0.09283851,0.995651629,-0.042423402,0.013863354,9.772512746,0.004939111,-0.008453719,-0.000319512,-5.035723675,4.497662154,2.009312084,1159.985113,1120.229869,1106.164132,1118.920379,51.45420196,-454.9058312,-271.2631835,-10.51876212,158.4702649
